tau0,tauB,kappa,eta,beta,P_wash_frac,gamma_wash,lambda_wash,P_hold_frac,tau_decay_frac,W_on,W_off,P_on_frac,P_off_frac,feasible_any,stable_any,best_controller_name,best_score,best_avg_power,best_tracking_error,best_time_below,stability_mode,pruned,feasible_and_stable
1.7655584569107043,1.0229925108267839,7.444873329044959,0.27534187831011964,0.03840786495056129,0.7327977913932471,0.7860643052769538,0.3843408980266376,0.3427508596321186,0.1518411052064047,1.1707059955394408,0.8219325600403322,0.8936569679624979,0.4103899391791318,True,True,const_Pmax,1.548972752282805,1.0,0.7491303668542396,0.0403205182848862,steady,False,True
0.14237949489613036,1.8884966991030294,0.0,0.8621049375940657,0.0009293345093530734,0.7306614180597617,0.35452596812986836,2.9120940731847096,0.6305287288594285,0.514837629698909,0.8778554831407871,0.7333605018635171,0.4262822594723373,0.2080026444472835,False,True,pulse_1,-0.05305831192973014,0.28002562794395075,0.9682743162211402,1.0,steady,False,False
1.161630244276127,5.172732979625499,1.3451538872359055,0.49636776482789513,0.00016085281754977767,0.332629951359,0.12992150533547164,1.4271147786778013,0.19749107688307466,0.3718930848239051,0.9748607675489322,0.9163390980289188,0.8201590612013494,0.31865664896742874,False,True,kick_hold_1,0.3782324817117749,0.46040073564998546,0.5123334743865845,1.0,steady,False,False
2.3093491944330635,7.108646630080886,1.1318202570808786,0.7459964031799804,4.536205580365073e-06,0.3399357417325758,0.007362269751005512,2.360773132506415,0.48215305678482084,0.41343887842884675,1.1122916124087872,0.72945788776917,0.7412447175717363,0.1978578986893602,False,True,const_08,1.159734936582751,0.7999999999999999,0.32988456443194275,0.07465422429595067,steady,False,False
0.08472862359475453,3.451558704132955,4.051291265479425,0.8119990859328206,0.0009605552430663269,0.5875055804605971,0.5592071607454135,0.9118502941878366,0.07003159246916062,0.1849917783563539,0.8858338691278117,0.7042643218623181,0.9120418439608997,0.26375764010573854,False,True,kick_hold_1,0.011337700227953162,0.46000423639059507,0.8576752031661582,1.0,steady,False,False
0.06539965957772206,0.44409182217677456,6.323452843114794,0.6456257218730227,0.004825187244052792,0.6650194782291712,0.4063868614400705,2.442061153998104,0.15853239794000754,0.05352036822392957,0.8360191443102567,0.7860191443102567,0.6771263381508325,0.21289024532352127,False,True,kick_hold_2,-0.005740745862155311,0.3700045779560516,0.8952521974275466,1.0,steady,False,False
0.5024114801848213,0.22411695697121312,2.3411746117063306,0.5048169808771861,2.610936219110019e-05,0.6411978151832218,0.3618126105533904,0.262949757948303,0.12670383637833493,0.8921291266979773,1.163432276283043,0.8498535669053748,0.5595219768757118,0.5095219768757118,False,True,const_Pmax,0.468662902149852,1.0,0.24036043165361776,1.0,steady,False,False
1.8049775818870872,4.462578090101099,1.051004022999655,0.27711276972279947,0.017430168567524617,0.5190434028835278,0.20236336479523032,0.9178698724519575,0.4264927198122323,0.08490958091532258,1.1426457136369501,0.879259764917605,0.831677773570562,0.4024651278425726,False,True,const_Pmax,0.3201368412380074,1.0,0.4048315943821266,1.0,steady,False,False
0.8986440139682752,2.208141738380647,0.44259845848383506,0.5326459217364877,1.5687139360703684e-06,0.5457935734711632,0.3298612123327853,0.4335725665981407,0.11721192901965856,0.29074564584229595,0.8682371874147545,0.8182371874147545,0.748636683820237,0.34280886317438597,False,True,const_08,0.25038385435637966,0.8,0.5151399840507874,1.0,steady,False,False
0.7599779420470392,0.11284241996499546,2.7652100625648566,0.826188181800229,2.4476301155139658e-06,0.5406608315867123,0.4907069943545209,2.8134793649249485,0.42162323404444896,0.2065351230527153,0.9067902652367574,0.6657844986712761,0.7124034414829227,0.40723802221353267,True,True,const_08,0.8504624571691413,0.7999999999999998,0.09326920914575787,0.033297600240728205,steady,False,True
0.055232431688883414,7.967507899732043,0.5722943162362323,0.6432289148312396,3.2373835140140275e-06,0.6705680651278682,0.2812337838390083,1.9782679040757052,0.5225464992864737,0.5000385042475058,0.8430963783823586,0.7930963783823586,0.5381283945369285,0.12618878932332586,False,True,pulse_1,-0.0733349834131267,0.2800055232089844,0.9891392755803567,1.0,steady,False,False
